base	case	control	result	detail
generated	unidentified-embedded	base-holds-no-case-secret	pass	-
generated	unidentified-embedded	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
generated	whole-content	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
generated	whole-content	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
generated	whole-content	resolution-records-match	pass	1 records
generated	whole-content	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
generated	whole-content	base-holds-no-case-secret	pass	-
generated	whole-content	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
generated	yaml-escape	fidelity-check-fires	fired	a trace leaf's tracer replaced by a non-tracer
generated	yaml-escape	render-identity	pass	every configuration re-rendered with nothing redacted is the text talosctl or bwref wrote
generated	yaml-escape	resolution-records-match	pass	1 records
generated	yaml-escape	trace-holds-no-secret	pass	the trace pass's compositions, fragments and messages hold no form of 1 case values (0 exempt: booleans, authored literals)
generated	yaml-escape	base-holds-no-case-secret	pass	-
generated	yaml-escape	schema-covers-base-secrets	pass	9 schema leaves hold every secrets-bundle value
generated	moved	stale-paths-leak	fired	1 findings of revision b's values under revision a's composed paths
generated	moved	stale-paths-version	did-not-fire	0 leaves where revision a's token names another reference or version than b's own
generated	moved	stale-values-leak	did-not-fire	0 findings of revision b's values under revision a's values
generated	rotate	stale-paths-leak	did-not-fire	0 findings of revision b's values under revision a's composed paths
generated	rotate	stale-paths-version	fired	1 leaves where revision a's token names another reference or version than b's own
generated	rotate	stale-values-leak	fired	1 findings of revision b's values under revision a's values
